category,top_keys
政治,"[('美國', 381), ('關稅', 341), ('台灣', 320), ('川普', 222), ('中國', 222), ('政府', 138), ('總統', 116), ('民進黨', 111), ('國家', 106), ('產業', 100), ('國民黨', 97), ('貿易', 82), ('立委', 78), ('經濟', 75), ('新聞', 71), ('問題', 70), ('政策', 70), ('民眾', 56), ('台股', 55), ('卓榮泰', 55), ('賴清德', 55), ('衝擊', 55), ('全球', 54), ('市場', 53), ('議員', 52), ('柯建銘', 49), ('行政院', 48), ('國際', 47), ('立法院', 46), ('傅崐萁', 45), ('台積電', 44), ('人民', 44), ('朝野', 41), ('股市', 39), ('臉書', 37), ('民主', 37), ('黨團', 36), ('活動', 36), ('政治', 36), ('時間', 35), ('措施', 35), ('國會', 35), ('中共', 35), ('社會', 34), ('地區', 34), ('龍應台', 34), ('會議', 33), ('臺灣', 32), ('方案', 32), ('特朗普', 32), ('廠商', 30), ('大陸', 29), ('連署書', 28), ('總召', 27), ('地方', 27), ('北捷', 27), ('世界', 26), ('美方', 26), ('金融', 26), ('策略', 25), ('企業', 25), ('關係', 25), ('原文', 25), ('徐巧芯', 25), ('影響', 25), ('軍事', 25), ('逆差', 25), ('行政院長', 24), ('行動', 24), ('危機', 24), ('團隊', 24), ('藍委', 24), ('中央', 24), ('方式', 23), ('媒體', 23), ('韓國瑜', 23), ('立院', 22), ('發言人', 22), ('國安', 22), ('人員', 22), ('議事', 22), ('院長', 21), ('商品', 21), ('桃園', 21), ('高雄', 21), ('民進黨團', 20), ('吳靜怡', 20), ('團體', 20), ('機構', 20), ('疫苗', 20), ('國安局', 20), ('黃國昌', 19), ('新聞網', 19), ('人士', 19), ('風險', 19), ('國內', 18), ('利益', 18), ('平台', 18), ('公民', 18), ('國難', 18)]"
社會地方,"[('警方', 281), ('男子', 123), ('人員', 106), ('現場', 95), ('民眾', 92), ('安哥', 78), ('火警', 76), ('毒品', 74), ('員警', 64), ('廣末涼子', 62), ('法官', 57), ('男友', 57), ('公司', 52), ('新聞', 52), ('台灣', 51), ('原因', 48), ('監視器', 47), ('嫌犯', 47), ('台中', 46), ('網紅', 45), ('法院', 45), ('分局', 45), ('車禍', 45), ('飼主', 44), ('護理師', 44), ('專線', 43), ('媽媽', 43), ('女子', 43), ('新聞網', 42), ('中國', 41), ('吳男', 41), ('政府', 40), ('廠商', 40), ('派出所', 40), ('謝宜容', 40), ('行為', 39), ('機車', 39), ('集團', 39), ('地檢署', 39), ('時間', 38), ('社區', 37), ('象龜', 37), ('騎士', 37), ('活動', 37), ('新北', 36), ('影片', 35), ('家暴', 35), ('交通', 35), ('工地', 35), ('車輛', 35), ('消防局', 35), ('死刑', 35), ('案件', 34), ('醫院', 34), ('附近', 34), ('生命', 33), ('事件', 32), ('關稅', 32), ('屏東', 32), ('新北市', 31), ('學生', 31), ('手機', 31), ('美國', 30), ('小時', 30), ('電纜線', 30), ('網路', 30), ('駕駛', 30), ('刀傷', 29), ('鍾文智', 29), ('孩子', 28), ('環境', 28), ('捷運', 28), ('條例', 28), ('北市', 28), ('公園', 28), ('警消', 28), ('畫面', 27), ('法律', 27), ('國際', 27), ('川普', 27), ('身分', 27), ('事故', 27), ('生活', 26), ('北捷', 26), ('濃煙', 26), ('貨車', 26), ('文章', 25), ('弟弟', 25), ('台北', 25), ('移民署', 25), ('警察局', 25), ('雙手', 25), ('過程', 24), ('狀況', 24), ('浴室', 24), ('台北市', 24), ('陳勇松', 24), ('車手', 23), ('地方', 23), ('期間', 23)]"
財經,"[('關稅', 404), ('市場', 339), ('美國', 337), ('川普', 318), ('台股', 276), ('全球', 177), ('指數', 161), ('股市', 154), ('台積電', 149), ('經濟', 142), ('政策', 137), ('台灣', 134), ('基金', 118), ('投資人', 115), ('跌幅', 101), ('風險', 86), ('股價', 84), ('美股', 83), ('企業', 83), ('中國', 79), ('總統', 75), ('公司', 74), ('貿易', 70), ('金融', 69), ('資金', 66), ('股票', 65), ('產業', 60), ('國安', 56), ('營收', 55), ('鴻海', 50), ('資產', 49), ('集團', 49), ('機會', 48), ('政府', 45), ('國家', 44), ('分析師', 44), ('數據', 43), ('聯準會', 42), ('賣壓', 41), ('產品', 41), ('影響', 41), ('新聞', 41), ('信心', 41), ('個股', 40), ('銀行', 40), ('時間', 39), ('通膨', 38), ('廣達', 38), ('措施', 37), ('國際', 37), ('外資', 37), ('日本', 36), ('新聞網', 35), ('專家', 35), ('現金', 35), ('關鍵', 35), ('央行', 34), ('交易', 34), ('股災', 34), ('美元', 34), ('衝擊', 34), ('商品', 33), ('價格', 32), ('新台幣', 32), ('客戶', 32), ('危機', 31), ('問題', 31), ('資料', 31), ('早盤', 30), ('策略', 30), ('科技', 30), ('成交量', 29), ('道瓊', 29), ('殖利率', 29), ('壓力', 29), ('短期', 28), ('跌點', 28), ('黃金', 28), ('投資', 27), ('歷史', 27), ('整體', 27), ('走勢', 27), ('風暴', 27), ('漲幅', 27), ('巴菲特', 27), ('白宮', 26), ('電子', 26), ('貨幣', 26), ('成本', 26), ('法人', 26), ('持股', 26), ('市值', 25), ('需求', 25), ('謝金河', 24), ('結果', 24), ('證交所', 24), ('半導體', 24), ('不確定性', 24), ('中型', 24), ('關稅戰', 23)]"
運動,"[('比賽', 150), ('球隊', 91), ('台灣', 91), ('道奇', 91), ('安打', 77), ('大聯盟', 72), ('球員', 68), ('中職', 66), ('川普', 63), ('聯盟', 63), ('投手', 62), ('美國', 56), ('大谷', 54), ('球迷', 54), ('機會', 53), ('運動', 50), ('高中', 50), ('生涯', 48), ('賽事', 47), ('紀錄', 47), ('大谷翔平', 46), ('場地', 45), ('勇士', 44), ('教練', 41), ('球場', 40), ('主場', 38), ('二壘', 37), ('對手', 37), ('洋基', 36), ('打擊', 34), ('費城人', 33), ('新聞網', 33), ('鄭宗哲', 31), ('世界', 31), ('兄弟', 31), ('總教練', 30), ('悍將', 30), ('足球', 29), ('響尾蛇', 29), ('冠軍', 28), ('例行賽', 28), ('味全龍', 28), ('球星', 27), ('明星', 27), ('客場', 26), ('富邦', 26), ('時間', 26), ('中信', 25), ('湖人', 25), ('運彩', 25), ('隊史', 24), ('日本', 24), ('東山', 24), ('能力', 23), ('女子', 23), ('足球場', 23), ('朱育賢', 23), ('啦啦隊', 23), ('選手', 22), ('全壘打', 22), ('新聞', 22), ('女足', 22), ('三壘', 22), ('隊友', 22), ('金塊', 22), ('決賽', 21), ('棒球', 21), ('楠梓', 21), ('單場', 20), ('打者', 20), ('中華', 20), ('季後賽', 20), ('柯瑞', 20), ('籃球', 20), ('民視', 19), ('打席', 19), ('聯賽', 19), ('三立', 19), ('高爾夫', 19), ('體育', 19), ('紐卡索聯', 19), ('洛杉磯', 18), ('左投', 18), ('球棒', 18), ('狀況', 18), ('老虎', 18), ('球團', 18), ('牛棚', 18), ('西區', 18), ('雷霆', 18), ('籃板', 18), ('萊斯特城', 18), ('原文', 17), ('出處', 17), ('國民', 17), ('國際', 17), ('戰績', 17), ('職棒', 17), ('鼻炎', 17), ('紐西蘭', 16)]"
娛樂影劇,"[('網友', 118), ('台灣', 110), ('電影', 89), ('演員', 85), ('新聞網', 72), ('台股', 72), ('節目', 71), ('美國', 63), ('三立', 58), ('川普', 58), ('粉絲', 58), ('公司', 57), ('影片', 57), ('中國', 54), ('新聞', 50), ('關稅', 48), ('啦啦隊', 48), ('全球', 45), ('演唱會', 43), ('生活', 42), ('畫面', 41), ('女星', 37), ('觀眾', 36), ('成員', 36), ('兒子', 36), ('股票', 35), ('時間', 35), ('社群', 35), ('角色', 35), ('日本', 35), ('劇情', 34), ('任務', 33), ('股市', 32), ('工作', 32), ('短劇', 32), ('韓國', 31), ('經紀人', 30), ('女神', 30), ('活動', 29), ('作品', 29), ('世界', 28), ('原因', 28), ('家人', 27), ('網紅', 27), ('問題', 27), ('藝人', 27), ('音樂', 27), ('孩子', 27), ('女友', 27), ('朋友', 26), ('台北', 26), ('韓劇', 26), ('保險', 26), ('經典', 26), ('媽媽', 25), ('男友', 25), ('小孩', 25), ('台積電', 25), ('網路', 24), ('生日', 24), ('人生', 24), ('歌手', 23), ('照片', 23), ('事件', 23), ('演藝圈', 23), ('侯佩岑', 23), ('娛樂', 22), ('關係', 22), ('人氣', 22), ('醫生', 22), ('過程', 22), ('身材', 22), ('現場', 21), ('好友', 21), ('機會', 21), ('婚姻', 21), ('女兒', 21), ('妹妹', 21), ('形象', 21), ('老公', 20), ('文章', 20), ('兄弟', 20), ('期間', 20), ('狀態', 20), ('收視', 20), ('遊戲', 20), ('帥哥', 20), ('父親', 19), ('消息', 19), ('狀況', 19), ('廣末涼子', 19), ('安哥', 19), ('貼文', 18), ('舞台', 18), ('媒體', 18), ('臉書', 18), ('感情', 18), ('話題', 18), ('線上', 18), ('導演', 18)]"
科技,"[('遊戲', 199), ('美國', 156), ('技術', 145), ('網路', 141), ('應用', 127), ('玩家', 120), ('功能', 119), ('台灣', 112), ('科技', 96), ('任天堂', 95), ('資訊', 94), ('智慧', 94), ('市場', 92), ('手機', 86), ('關稅', 85), ('設計', 80), ('資安', 79), ('平台', 78), ('內容', 76), ('公司', 72), ('程式', 71), ('川普', 69), ('政府', 68), ('電信', 68), ('資料', 66), ('全球', 63), ('用戶', 63), ('時間', 62), ('電影', 62), ('螢幕', 62), ('活動', 61), ('產品', 58), ('中國', 56), ('網友', 55), ('企業', 54), ('需求', 52), ('能力', 51), ('蘋果', 48), ('中華', 48), ('問題', 47), ('系統', 47), ('官方', 46), ('主機', 46), ('國際', 46), ('新聞', 45), ('方案', 43), ('團隊', 42), ('規格', 42), ('行動', 41), ('系列', 41), ('聯盟', 41), ('社群', 40), ('日本', 39), ('方式', 38), ('政策', 37), ('任務', 37), ('品牌', 37), ('價格', 36), ('效能', 36), ('效率', 35), ('旗下', 34), ('速度', 34), ('圖片', 34), ('裝置', 33), ('影片', 33), ('生活', 33), ('世界', 31), ('專家', 31), ('空間', 31), ('數據', 30), ('頻道', 29), ('粉絲', 29), ('專利', 29), ('工作', 29), ('處理器', 29), ('照片', 29), ('角色', 28), ('作品', 28), ('產業', 28), ('中心', 28), ('國家', 28), ('資產', 28), ('人員', 28), ('大學', 28), ('關鍵', 27), ('影響', 27), ('版本', 27), ('寶可夢', 27), ('情況', 26), ('期間', 26), ('軟體', 26), ('相機', 26), ('計畫', 25), ('容量', 25), ('電話', 25), ('機器人', 25), ('售價', 24), ('威脅', 24), ('風險', 24), ('主題', 24)]"
全部,"[('美國', 1023), ('關稅', 917), ('台灣', 818), ('川普', 757), ('市場', 494), ('中國', 465), ('台股', 433), ('全球', 353), ('政府', 300), ('警方', 292), ('新聞', 281), ('政策', 269), ('公司', 269), ('經濟', 248), ('台積電', 243), ('遊戲', 242), ('總統', 236), ('時間', 235), ('網友', 234), ('股市', 233), ('網路', 223), ('新聞網', 216), ('國家', 213), ('問題', 210), ('產業', 207), ('技術', 196), ('民眾', 195), ('比賽', 184), ('活動', 183), ('指數', 183), ('企業', 182), ('國際', 178), ('人員', 172), ('機會', 170), ('日本', 167), ('現場', 163), ('貿易', 160), ('電影', 159), ('科技', 155), ('風險', 154), ('基金', 153), ('男子', 143), ('世界', 141), ('內容', 141), ('影片', 140), ('應用', 139), ('投資人', 137), ('手機', 135), ('資料', 134), ('股票', 133), ('平台', 133), ('資訊', 133), ('原因', 133), ('玩家', 128), ('金融', 127), ('生活', 127), ('功能', 127), ('產品', 120), ('集團', 119), ('關鍵', 117), ('三立', 116), ('聯盟', 116), ('民進黨', 115), ('跌幅', 115), ('方式', 113), ('衝擊', 112), ('紀錄', 111), ('能力', 110), ('期間', 110), ('社群', 108), ('工作', 108), ('廠商', 108), ('智慧', 108), ('專家', 106), ('畫面', 106), ('國民黨', 105), ('團隊', 103), ('情況', 102), ('美股', 101), ('影響', 101), ('資金', 101), ('設計', 101), ('台北', 100), ('球隊', 100), ('數據', 99), ('股價', 98), ('安哥', 98), ('粉絲', 98), ('需求', 96), ('任天堂', 95), ('國安', 94), ('環境', 93), ('演員', 93), ('事件', 91), ('道奇', 91), ('媒體', 90), ('節目', 90), ('方案', 90), ('男友', 90), ('任務', 90)]"
