category,top_keys
政治,"[('川普', 66), ('卓榮泰', 22), ('賴清德', 19), ('柯建銘', 16), ('傅[UNK]萁', 13), ('徐巧芯', 12), ('韓國瑜', 10), ('黃國昌', 8), ('吳靜怡', 7), ('廖秋萍', 6), ('張麗善', 6), ('郭正亮', 5), ('李美妍', 5), ('賴士葆', 5), ('吳思瑤', 5), ('盧秀燕', 5), ('李宇翔', 5), ('林右昌', 5), ('張錫', 4), ('donaldtrump', 4), ('曹興誠', 4), ('朱立倫', 4), ('王世堅', 4), ('潘柏廷', 4), ('顏若芳', 4), ('顧立雄', 4), ('牛煦庭', 4), ('蔡卡羅', 4), ('羅智強', 4), ('納坦雅胡', 4), ('凌濤', 4), ('白喬茵', 4), ('羅廷瑋', 4), ('蘇治芬', 3), ('周卓[UNK]', 3), ('邱垂正', 3), ('邱毅', 3), ('高麗菜', 3), ('蔡正元', 3), ('張啓楷', 3), ('吳思鍾', 3), ('顏清標', 3), ('彭金隆', 3), ('陳芳旭', 3), ('劉書彬', 3), ('饒慶鈴', 3), ('尹錫悅', 3), ('張善政', 3), ('黃明太', 3), ('曾煥嘉', 3), ('王惠美', 3), ('鄭麗君', 2), ('謝金河', 2), ('丁學忠', 2), ('陳思妤', 2), ('鄭南榕', 2), ('卓揆', 2), ('蔣萬安', 2), ('陳昭姿', 2), ('徐榛蔚', 2), ('蕭美琴', 2), ('巧芯蜓', 2), ('俞大[UNK]', 2), ('鄭中睿', 2), ('法莉莉', 2), ('林佳龍', 2), ('魯比尼', 2), ('張益贍', 2), ('董建宏', 2), ('沈伯洋', 2), ('何欣純', 2), ('蔡英文', 2), ('韓[UNK]洙', 2), ('張智倫', 2), ('侯友宜', 2), ('洪孟楷', 2), ('高閔琳', 2), ('特朗普', 2), ('傅琨萁', 2), ('李慧芝', 2), ('詹江村', 2), ('陳柏惟', 2), ('簡舒培', 2), ('余宗基', 2), ('羅旺哲', 1), ('蘇貞昌', 1), ('貝森特', 1), ('scottbessent', 1), ('南榕', 1), ('李宗澤', 1), ('游智彬', 1), ('郭雅慧', 1), ('陳治甬', 1), ('奧爾波', 1), ('簡雅婷', 1), ('張耀文', 1), ('張美美', 1), ('黃光芹', 1), ('張嘉郡', 1), ('黃凱', 1), ('廖偉晴', 1), ('trump', 1), ('江啟臣', 1), ('汪葛雷', 1), ('howardlutnick', 1), ('陳堯棋', 1), ('賴文軒', 1), ('吳[UNK]', 1), ('曾玟學', 1), ('慾珍', 1), ('邱泰源', 1), ('藍易振', 1), ('李紹禎', 1), ('李燿南', 1), ('徐嘉連', 1), ('陳國珍', 1), ('鄭丞彧', 1), ('澤倫斯基', 1), ('邱奕淦', 1), ('何孟樺', 1), ('柳采葳', 1), ('lily', 1), ('tangisiafaavae', 1), ('潘孟安', 1), ('戴斐立', 1), ('feletipenitalateo', 1), ('蔡明彥', 1), ('nourielroubini', 1), ('王鴻薇', 1), ('葉元之', 1), ('沈富雄', 1), ('黃復興', 1), ('李文章', 1), ('麥玉珍', 1), ('范雲', 1), ('劉世芳', 1), ('李維森', 1), ('王价', 1), ('艾米·康', 1), ('陳淑芳', 1), ('林陽晋', 1), ('李文昌', 1), ('藍文進', 1), ('陳樹菊', 1), ('黃健豪', 1), ('哈塞特', 1), ('kevinhassett', 1), ('周玉蔻', 1), ('李在明', 1), ('林德福', 1), ('李政安', 1), ('谷力哲', 1), ('楊格', 1), ('alexyounger', 1), ('查克', 1), ('chuckdevore', 1), ('龍應台', 1), ('馬英九', 1), ('安哲秀', 1), ('廖禹揚', 1), ('林國民', 1), ('王定宇', 1), ('王美惠', 1), ('劉崇顯', 1), ('傅崑萁', 1), ('陳其邁', 1), ('陳若翠', 1), ('顏一軒', 1), ('yoonsukyeol', 1), ('yolanda', 1), ('allison', 1), ('楊堯茹', 1), ('馬斯克', 1), ('吳沛憶', 1), ('賴苡任', 1), ('張斯綱', 1), ('黃郁菁', 1), ('唐納德·特朗普', 1), ('趙敏雅', 1), ('李宗豪', 1), ('林彥君', 1), ('李澤民', 1), ('丘衛邦', 1)]"
社會地方,"[('廣末涼子', 35), ('謝宜容', 19), ('鍾文智', 14), ('宥勝', 13), ('陳勇松', 9), ('陳樹菊', 8), ('劉冠軍', 7), ('鄭銘坤', 7), ('川普', 7), ('菲利浦', 7), ('廣末', 6), ('盧員', 5), ('范斯', 5), ('李珍妮', 5), ('李宇翔', 4), ('牛煦庭', 4), ('陳隆謙', 4), ('陳芳旭', 4), ('饒慶鈴', 4), ('侯友宜', 4), ('李[UNK][UNK]', 4), ('吳宗寶', 3), ('陳曉煒', 3), ('趙紋華', 3), ('陳淑芳', 3), ('賴彼得', 3), ('張清雄', 3), ('曼多里尼', 3), ('盧楷文', 3), ('李明松', 3), ('林淑媛', 3), ('洪孟楷', 2), ('傅[UNK]萁', 2), ('潘俊安', 2), ('萬美玲', 2), ('李文章', 2), ('周春米', 2), ('周學賢', 2), ('黃國誠', 2), ('習翌', 2), ('李麗娟', 2), ('jennylee', 2), ('趙卿惠', 2), ('蕭智元', 2), ('陳倫昌', 1), ('lunchangchen', 1), ('牛煦', 1), ('longqianchen', 1), ('蒂池', 1), ('jess', 1), ('津姆', 1), ('craigzim', 1), ('麗莎', 1), ('lisa', 1), ('mosconi', 1), ('孔立偉', 1), ('吳宇雅', 1), ('羅一心', 1), ('張善政', 1), ('黃國榮', 1), ('馬聖傑', 1), ('李奕翰', 1), ('劉毓琦', 1), ('郭銘諭', 1), ('格雷夫森德', 1), ('gravesend', 1), ('張鈞甯', 1), ('李盈萱', 1), ('范智鈞', 1), ('樹菊', 1), ('王宥勝', 1), ('柯建銘', 1), ('卓榮泰', 1), ('黃子佼', 1), ('張正翰', 1), ('李仁智', 1), ('邱垂正', 1), ('游明哲', 1), ('jdvance', 1), ('##asant', 1), ('朱毋我', 1), ('陳品蓁', 1), ('frankmandolini', 1), ('林恬耀', 1), ('jimmylim', 1), ('田原諒悟', 1), ('ryogotahara', 1), ('賴思瑩', 1), ('吳松濂', 1), ('李錫璋', 1), ('黃恩琳', 1), ('黃柏榕', 1), ('邱忠義', 1), ('翁章梁', 1), ('蔡易餘', 1), ('陳冠廷', 1), ('顏寬恆', 1), ('徐榛蔚', 1), ('顏清標', 1), ('何達煌', 1), ('蔡承翰', 1), ('鄭中睿', 1), ('邱奕淦', 1), ('柳采葳', 1), ('何孟樺', 1), ('陳彥丞', 1), ('林宛瑩', 1), ('榮昊', 1), ('陳建邦', 1), ('潘柏廷', 1), ('簡宏裕', 1), ('陳秀燕', 1), ('高瑞婷', 1), ('高欣宜', 1), ('周燕忠', 1), ('張銘坤', 1), ('陳美秀', 1), ('胡嘉慧', 1), ('陳奕迅', 1), ('魏凰如', 1), ('羅善齡', 1), ('鄭旭哲', 1), ('陳登裕', 1), ('沈冠宇', 1), ('王識賢', 1), ('曹佑寧', 1), ('吳琦翔', 1), ('菲利', 1), ('石破茂', 1), ('梅洛尼', 1)]"
財經,"[('川普', 99), ('謝金河', 8), ('馬斯克', 6), ('張錫', 6), ('donaldtrump', 5), ('謝宜容', 5), ('郭台銘', 4), ('彭金隆', 4), ('達里歐', 4), ('蔡正元', 3), ('侯昌明', 3), ('trump', 3), ('邱毅', 3), ('巴菲特', 3), ('蔡阿嘎', 3), ('芬克', 3), ('戴蒙', 3), ('孫慶龍', 2), ('拉巴里', 2), ('納瓦洛', 2), ('林啟超', 2), ('陳重銘', 2), ('貝森特', 2), ('scottbessent', 2), ('賴清德', 2), ('尤克里奇', 2), ('林百里', 2), ('林威廷', 2), ('佑佑', 2), ('賴宏昌', 2), ('蔡[UNK]民', 2), ('蕭森寶', 2), ('ebrahimrahbari', 1), ('鄭廳宜', 1), ('jackmanley', 1), ('路易莎', 1), ('季辛格', 1), ('蔡明彰', 1), ('黃紫東', 1), ('悅悅', 1), ('yiting', 1), ('李永年', 1), ('魯爾', 1), ('stephanieruhle', 1), ('cliff', 1), ('jurkiewicz', 1), ('李其展', 1), ('張忠謀', 1), ('容逸燊', 1), ('賀錦麗', 1), ('陳奕光', 1), ('張明祥', 1), ('藍婷', 1), ('林淑媛', 1), ('梁博超', 1), ('陳柏州', 1), ('郭正亮', 1), ('劉冠軍', 1), ('larryfink', 1), ('陳思妤', 1), ('李美妍', 1), ('raydalio', 1), ('卓榮泰', 1), ('陳錫琮', 1), ('李杰峰', 1), ('jamiedimon', 1), ('哈塞特', 1), ('林百', 1), ('哈賽特', 1), ('石破茂', 1), ('李彥瑾', 1), ('elonmusk', 1), ('蔡承啟', 1), ('徐岳鋒', 1), ('潘俊榮', 1), ('苗豐盛', 1), ('翁偉捷', 1), ('傑佛瑞‧修茲', 1), ('鍾健人', 1), ('萬惠雯', 1), ('黃傲天', 1)]"
運動,"[('大谷翔平', 21), ('川普', 17), ('鄭宗哲', 16), ('柯瑞', 10), ('朱育賢', 8), ('小萊德', 7), ('小葛雷諾', 7), ('周天成', 7), ('林昱珉', 6), ('吳東融', 6), ('陳冠穎', 6), ('向鵬', 5), ('山本由伸', 5), ('千賀[UNK]', 5), ('范國宸', 5), ('張誠恩', 5), ('蕭豫玟', 5), ('戴培峰', 5), ('平野惠一', 5), ('詹子賢', 5), ('陳真', 5), ('藍子珅', 4), ('山本', 4), ('donaldtrump', 4), ('羅斯', 4), ('gyubin', 4), ('stephencurry', 4), ('東契奇', 4), ('亞歷山大', 4), ('貝茲', 4), ('陳盈駿', 4), ('snell', 4), ('哈孝遠', 4), ('艾賽亞', 4), ('王子維', 4), ('歐塔維諾', 4), ('羅密歐', 4), ('伯恩斯', 4), ('李珠[UNK]', 4), ('陳金鋒', 4), ('伍鐸', 4), ('李尚洙', 3), ('daveroberts', 3), ('桑契斯', 3), ('張承中', 3), ('羅登', 3), ('賈吉', 3), ('志田千陽', 3), ('湯普森', 3), ('田中', 3), ('戶郷翔征', 3), ('kevindurant', 3), ('林維恩', 3), ('佛雷格', 3), ('大谷', 3), ('霍斯曼', 3), ('曼金', 3), ('石明謹', 3), ('金娜妍', 3), ('林俊易', 3), ('林智勝', 3), ('水原一平', 3), ('王威晨', 3), ('威廉斯', 3), ('彭曉彤', 3), ('赫南德茲', 3), ('kimturnbull', 3), ('布魯克林', 3), ('今永昇太', 3), ('莎菈', 3), ('格林', 3), ('申京', 3), ('羅伯茲', 2), ('古林睿[UNK]', 2), ('vanessarider', 2), ('vladimirguerrero', 2), ('莉亞羅斯', 2), ('amenthompson', 2), ('吳宗峻', 2), ('林智平', 2), ('lukadoncic', 2), ('約基奇', 2), ('lebronjames', 2), ('謝典林', 2), ('janniksinner', 2), ('carlosalcaraz', 2), ('alcaraz', 2), ('吳芳[UNK]', 2), ('葛藍喬安娜', 2), ('李亞軒', 2), ('穆里尼奧', 2), ('布魯克', 2), ('崔歐洛', 2), ('李佳豪', 2), ('戚又仁', 2), ('陳文宏', 2), ('林文佑', 2), ('佐佐木朗希', 2), ('佐佐木', 2), ('貝克漢', 2), ('陳傑憲', 2), ('葛拉斯諾', 2), ('江忠城', 2), ('corbinburnes', 2), ('李雅英', 2), ('南珉貞', 2), ('瑞爾穆托', 2), ('黃博多', 2), ('葉君璋', 2), ('史奈爾', 2), ('林昀儒', 1), ('王楚欽', 1), ('林詩棟', 1), ('席姆', 1), ('lucassims', 1), ('芬尼根', 1), ('kylefinnegan', 1), ('戈爾', 1), ('mackenziegore', 1), ('翔平', 1), ('福島蓮', 1), ('細野晴希', 1), ('達孝太', 1), ('古林', 1), ('大谷翔', 1), ('萊德', 1), ('isaiahrider', 1), ('isaiahrideriv', 1), ('凡妮莎', 1), ('陈美', 1), ('##essar', 1), ('王弘元', 1), ('紀名學', 1), ('林啟堯', 1), ('楊承展', 1), ('王冠棋', 1), ('黃義山', 1), ('葛諾', 1), ('葛雷諾', 1), ('liarose', 1), ('札克利羅斯', 1), ('zacharyrose', 1), ('carlosrodon', 1), ('萊斯', 1), ('benrice', 1), ('伊巴尼茲', 1), ('andyibanez', 1), ('周春米', 1), ('朴珪斌', 1), ('千賀', 1), ('索托', 1), ('juansoto', 1), ('林多', 1), ('franciscolindor', 1), ('松山奈未', 1), ('curry', 1), ('戶鄉翔征', 1), ('蔡佳諺', 1), ('李珠垠', 1), ('郭天信', 1), ('devinbooker', 1), ('bradleybeal', 1), ('許孟夫', 1), ('馬光', 1), ('塞道夫', 1), ('nellykorda', 1), ('奈莉‧柯達', 1), ('laurencoughlin', 1), ('蘿倫‧考芙琳', 1), ('madelenesagstrom', 1), ('瑪德琳‧莎格史壯', 1), ('芙琳', 1), ('張肇元', 1), ('林立開', 1), ('林子偉', 1), ('林泓育', 1), ('戴維斯', 1), ('anthonydavis', 1), ('losangeles', 1), ('##rs', 1), ('里夫斯', 1), ('shaigilgeous-alexander', 1), ('梅斗斯', 1), ('parkermeadows', 1), ('洋基瑞耶斯', 1), ('pabloreyes', 1), ('小丑', 1), ('nikolajokic', 1), ('張伯倫', 1), ('wiltchamberlain', 1), ('中村勝彦', 1), ('夏普', 1), ('卡洛爾', 1), ('corbincarroll', 1), ('布邊', 1), ('賽爾提克泰坦', 1), ('jaysontatum', 1), ('cooperflagg', 1), ('詹姆斯', 1), ('文班亞馬', 1)]"
娛樂影劇,"[('川普', 21), ('侯佩岑', 12), ('金賽綸', 11), ('具俊曄', 9), ('廣末涼子', 9), ('宥勝', 9), ('李燕', 9), ('王祖藍', 8), ('金秀賢', 8), ('陳妍希', 7), ('鍾明軒', 7), ('吳婉君', 7), ('蘇晏霈', 7), ('湯姆克魯斯', 7), ('許允樂', 6), ('林芯儀', 6), ('全炫茂', 6), ('tank', 6), ('吳淡如', 6), ('林依晨', 6), ('木村拓哉', 6), ('孫安佐', 6), ('林可彤', 6), ('張兆志', 5), ('連俞涵', 5), ('趙又廷', 5), ('高圓圓', 5), ('金娜妍', 5), ('恩綺', 5), ('boa', 5), ('李炳憲', 5), ('李智安', 5), ('李明依', 5), ('伊能靜', 5), ('秦昊', 5), ('哈孝遠', 5), ('吳宗憲', 5), ('夢多', 5), ('布魯克林', 5), ('黃河', 5), ('李晟', 5), ('張立東', 5), ('沈玉琳', 5), ('王思佳', 4), ('詹惟中', 4), ('章若楠', 4), ('黃[UNK]輝', 4), ('林志玲', 4), ('宋慧喬', 4), ('張鈞甯', 4), ('李珉廷', 4), ('蔡尚樺', 4), ('倖田來未', 4), ('kenji03', 4), ('林美貞', 4), ('djsoda', 4), ('愛莉莎莎', 4), ('周子瑜', 4), ('趙露思', 4), ('趙駿亞', 4), ('蘇心甯', 4), ('波伽利', 4), ('曾馨瑩', 4), ('陶晶瑩', 4), ('郭婷筠', 4), ('王宥忻', 4), ('賈靜雯', 4), ('郭彥甫', 4), ('朱軒洋', 4), ('金章勳', 4), ('陳冠霖', 4), ('阿湯哥', 4), ('吳興國', 4), ('白敬亭', 4), ('joeman', 4), ('傑諾斯', 4), ('gyubin', 4), ('陳國華', 4), ('吳文忻', 4), ('xiumin', 4), ('曾子益', 4), ('唐綺陽', 3), ('王宇婕', 3), ('cheap', 3), ('吳宣儀', 3), ('王祖紅', 3), ('王[UNK]', 3), ('楊培安', 3), ('浩角翔起', 3), ('平幡照正', 3), ('全智賢', 3), ('朴娜[UNK]', 3), ('侯昌明', 3), ('童瑤', 3), ('趙娟週', 3), ('鍾欣凌', 3), ('孫興', 3), ('陳茂榮', 3), ('妞妞', 3), ('賴慈泓', 3), ('李明川', 3), ('陳奕迅', 3), ('valkilmer', 3), ('許孟哲', 3), ('柯淳', 3), ('鹿希派', 3), ('金城武', 3), ('吳卓源', 3), ('李佳航', 3), ('張睿', 3), ('dapun', 3), ('佐藤和哉', 3), ('李正燮', 3), ('劉心語', 3), ('席勒', 3), ('王彩樺', 3), ('曹佑寧', 3), ('朴恩斌', 2), ('薛景求', 2), ('崔德熙', 2), ('亞亞', 2), ('張燕', 2), ('張雲龍', 2), ('陳重銘', 2), ('小彤', 2), ('酷炫', 2), ('周依然', 2), ('柳桑彪', 2), ('家寧', 2), ('葉欣眉', 2), ('謝坤達', 2), ('吳東諺', 2), ('傅雲夕', 2), ('蕭[UNK]', 2), ('潔瑪', 2), ('金鍾國', 2), ('姜仁', 2), ('楊子慶', 2), ('周[UNK]吟', 2), ('貝克漢', 2), ('妮可拉佩茲', 2), ('彭正', 2), ('姚晨', 2), ('黃文星', 2), ('方基墨', 2), ('趙孟姿', 2), ('狄鶯', 2), ('張家陞', 2), ('田馥甄', 2), ('爾康', 2), ('林襄', 2), ('南珉貞', 2), ('一粒', 2), ('yuri', 2), ('風田', 2), ('傑布', 2), ('張惠妹', 2), ('雪莉', 2), ('goldmedalist', 2), ('黃子佼', 2), ('桑延', 2), ('張世', 2), ('李棟旭', 2), ('李多熙', 2), ('徐乃麟', 2), ('chelsea', 2), ('庭庭', 2), ('張學友', 2), ('吳念軒', 2), ('謝忻', 1), ('黃越綏', 1), ('李佳豫', 1), ('蕭瑤', 1), ('呂育銓', 1), ('張小寒', 1), ('김나연', 1), ('朴秉恩', 1), ('尹燦榮', 1), ('鄭世玉', 1), ('大s', 1), ('徐熙媛', 1), ('張可昀', 1), ('小微', 1), ('劉振亞', 1), ('賀錦麗', 1), ('企鵝妹', 1), ('柳允進', 1), ('##ᆫ', 1), ('##ᅵᆫ', 1), ('丁禹兮', 1), ('孟子義', 1), ('劉詩詩', 1), ('王權醉', 1), ('王權弘業', 1), ('李亞男', 1), ('吳岳擎', 1), ('akira', 1), ('黑澤良平', 1), ('張雨生', 1), ('金智媛', 1)]"
科技,"[('川普', 25), ('林子祐', 7), ('markgurman', 6), ('gumayusi', 6), ('何丞唐', 5), ('櫻井政博', 5), ('簡志誠', 4), ('fuwamoco', 3), ('jonyive', 3), ('lon', 3), ('黃仁勳', 3), ('張忠謀', 3), ('へあもりゆるも', 3), ('adamking', 3), ('霍夫', 3), ('mission', 3), ('chickendog', 2), ('billtrinen', 2), ('dougbowser', 2), ('馬斯克', 2), ('張恆恩', 2), ('小島秀夫', 2), ('麥可薩諾斯基', 2), ('郭浩中', 2), ('洪瑜亨', 2), ('繆文茜', 2), ('蕭復合', 2), ('林恭如', 2), ('reubenlangdon', 2), ('donaldtrump', 2), ('猫宮るな', 2), ('kaela', 2), ('dennisshirk', 2), ('asadqizilbash', 2), ('王春', 2), ('江[UNK]燁', 2), ('matthewgriffin', 1), ('fuwawaabyssgard', 1), ('mococo', 1), ('##yssgard', 1), ('加藤正人', 1), ('費倫', 1), ('natebihldorff', 1), ('巴哈姆特', 1), ('河本浩一', 1), ('samaltman', 1), ('蔡明彥', 1), ('林安婕', 1), ('林安婕angel', 1), ('ge', 1), ('伊隆', 1), ('elonmusk', 1), ('yunjing', 1), ('michaelsarnoski', 1), ('小島', 1), ('doug', 1), ('黃朝秋', 1), ('程志賢', 1), ('楊方儒', 1), ('提博．布拉霍', 1), ('tiborblaho', 1), ('比爾・蓋茲', 1), ('billgates', 1), ('蓋茲', 1), ('ververmillion', 1), ('sh', 1), ('yam', 1), ('renzotto', 1), ('ikeev', 1), ('##and', 1), ('en', 1), ('elirapen', 1), ('beamoriyurumo', 1), ('gurman', 1), ('chovy維克特', 1), ('史迦納', 1), ('##けねこ', 1), ('郭台銘', 1), ('reine', 1), ('林榮賜', 1), ('林斌', 1), ('張渝萍', 1), ('拜登', 1), ('timothyd.haugh', 1), ('雨森', 1), ('溫水', 1), ('李奕農', 1), ('傑克布萊克', 1), ('史蒂夫', 1), ('bang', 1), ('##si', 1), ('##umayusi', 1), ('ishowspeed', 1), ('劉文雄', 1), ('米克森', 1), ('jannickemikkelsen', 1), ('特朗普', 1)]"
全部,"[('川普', 235), ('廣末涼子', 44), ('卓榮泰', 25), ('謝宜容', 24), ('宥勝', 22), ('賴清德', 21), ('大谷翔平', 21), ('柯建銘', 18), ('傅[UNK]萁', 16), ('donaldtrump', 16), ('鄭宗哲', 16), ('鍾文智', 14), ('徐巧芯', 12), ('侯佩岑', 12), ('金賽綸', 11), ('謝金河', 10), ('張錫', 10), ('韓國瑜', 10), ('柯瑞', 10), ('陳樹菊', 9), ('李宇翔', 9), ('馬斯克', 9), ('陳勇松', 9), ('哈孝遠', 9), ('具俊曄', 9), ('李燕', 9), ('黃國昌', 8), ('牛煦庭', 8), ('劉冠軍', 8), ('gyubin', 8), ('金娜妍', 8), ('朱育賢', 8), ('布魯克林', 8), ('王祖藍', 8), ('金秀賢', 8), ('吳靜怡', 7), ('彭金隆', 7), ('陳芳旭', 7), ('饒慶鈴', 7), ('侯友宜', 7), ('鄭銘坤', 7), ('菲利浦', 7), ('小萊德', 7), ('小葛雷諾', 7), ('周天成', 7), ('陳妍希', 7), ('鍾明軒', 7), ('吳婉君', 7), ('蘇晏霈', 7), ('湯姆克魯斯', 7), ('林子祐', 7), ('郭正亮', 6), ('李美妍', 6), ('邱毅', 6), ('蔡正元', 6), ('廖秋萍', 6), ('張麗善', 6), ('廣末', 6), ('侯昌明', 6), ('郭台銘', 6), ('林昱珉', 6), ('吳東融', 6), ('陳冠穎', 6), ('許允樂', 6), ('林芯儀', 6), ('全炫茂', 6), ('tank', 6), ('吳淡如', 6), ('林依晨', 6), ('木村拓哉', 6), ('孫安佐', 6), ('林可彤', 6), ('markgurman', 6), ('gumayusi', 6), ('賴士葆', 5), ('吳思瑤', 5), ('潘柏廷', 5), ('盧秀燕', 5), ('林右昌', 5), ('張鈞甯', 5), ('盧員', 5), ('范斯', 5), ('李珍妮', 5), ('向鵬', 5), ('山本由伸', 5), ('千賀[UNK]', 5), ('范國宸', 5), ('張誠恩', 5), ('蕭豫玟', 5), ('戴培峰', 5), ('羅密歐', 5), ('平野惠一', 5), ('李珠[UNK]', 5), ('詹子賢', 5), ('陳真', 5), ('張兆志', 5), ('連俞涵', 5), ('趙又廷', 5), ('高圓圓', 5), ('恩綺', 5), ('boa', 5), ('李炳憲', 5), ('李智安', 5), ('李明依', 5), ('伊能靜', 5), ('秦昊', 5), ('吳宗憲', 5), ('夢多', 5), ('黃河', 5), ('李晟', 5), ('張立東', 5), ('沈玉琳', 5), ('何丞唐', 5), ('櫻井政博', 5), ('邱垂正', 4), ('曹興誠', 4), ('朱立倫', 4), ('王世堅', 4), ('顏若芳', 4), ('顏清標', 4), ('trump', 4), ('顧立雄', 4), ('蔡卡羅', 4), ('羅智強', 4), ('陳淑芳', 4), ('納坦雅胡', 4), ('張善政', 4), ('凌濤', 4), ('洪孟楷', 4), ('白喬茵', 4), ('羅廷瑋', 4), ('陳隆謙', 4), ('李[UNK][UNK]', 4), ('林淑媛', 4), ('陳奕迅', 4), ('曹佑寧', 4), ('陳重銘', 4), ('張忠謀', 4), ('達里歐', 4), ('藍子珅', 4), ('山本', 4), ('羅斯', 4), ('stephencurry', 4), ('東契奇', 4), ('亞歷山大', 4), ('貝茲', 4), ('陳盈駿', 4), ('snell', 4), ('艾賽亞', 4), ('王子維', 4), ('歐塔維諾', 4), ('貝克漢', 4), ('伯恩斯', 4), ('南珉貞', 4), ('陳金鋒', 4), ('伍鐸', 4), ('王思佳', 4), ('詹惟中', 4), ('章若楠', 4), ('黃[UNK]輝', 4), ('林志玲', 4), ('宋慧喬', 4), ('李珉廷', 4), ('蔡尚樺', 4), ('倖田來未', 4), ('kenji03', 4), ('林美貞', 4), ('djsoda', 4), ('愛莉莎莎', 4), ('周子瑜', 4), ('趙露思', 4), ('趙駿亞', 4), ('蘇心甯', 4), ('波伽利', 4), ('曾馨瑩', 4), ('陶晶瑩', 4), ('郭婷筠', 4), ('王宥忻', 4), ('賈靜雯', 4), ('郭彥甫', 4), ('朱軒洋', 4), ('金章勳', 4), ('陳冠霖', 4), ('阿湯哥', 4), ('吳興國', 4), ('白敬亭', 4), ('joeman', 4), ('傑諾斯', 4), ('陳國華', 4), ('吳文忻', 4), ('xiumin', 4), ('曾子益', 4), ('簡志誠', 4), ('蘇治芬', 3), ('陳思妤', 3), ('周卓[UNK]', 3), ('貝森特', 3), ('scottbessent', 3), ('高麗菜', 3), ('張啓楷', 3)]"
